timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508183853.260042,-0.048534,-0.043642,3.056038,0.023961,0.009389,-0.046270,-0.048468,0.043628,-0.997871,-0.004007,0.001706,0.000313,23.553177,26.121964,-35.534988,,,,,,,
1508183853.280056,-0.048782,-0.043125,3.054990,0.022921,-0.008706,-0.053471,-0.048717,0.043112,-0.997882,-0.002583,0.000910,0.002383,23.517870,26.126173,-35.555275,,,,,,,
1508183853.300051,-0.049061,-0.042837,3.054138,0.010124,-0.011920,-0.042752,-0.048997,0.042824,-0.997880,0.000092,0.002296,0.001283,23.498632,26.131168,-35.564320,,,,,,,
1508183853.320041,-0.049269,-0.042960,3.053196,-0.004826,-0.027887,-0.048905,-0.049204,0.042947,-0.997865,0.005335,0.004462,-0.003691,23.451830,26.158691,-35.574978,,,,,,,
1508183853.340059,-0.049377,-0.042993,3.052260,0.009101,-0.030026,-0.045685,-0.049312,0.042980,-0.997858,0.014461,-0.001125,0.000422,23.417530,26.190866,-35.573895,,,,,,,
1508183853.360059,-0.049519,-0.042767,3.051513,0.000570,-0.024724,-0.031894,-0.049454,0.042754,-0.997861,0.019608,-0.004333,-0.000567,23.407352,26.197002,-35.576080,,,,,,,
1508183853.380073,-0.049348,-0.042863,3.050911,-0.008007,-0.021519,-0.034066,-0.049282,0.042850,-0.997865,0.014675,0.002789,0.003343,23.382774,26.215317,-35.578751,,,,,,,
1508183853.400091,-0.048446,-0.043065,3.050399,0.009078,0.004020,-0.021654,-0.048382,0.043051,-0.997901,0.025738,0.006418,-0.003473,23.385992,26.237303,-35.560429,,,,,,,
1508183853.420076,-0.048137,-0.042587,3.050170,0.026337,-0.025839,-0.006305,-0.048075,0.042574,-0.997936,0.028223,0.000090,0.002025,23.402557,26.241518,-35.546413,,,,,,,
1508183853.440101,-0.047987,-0.041829,3.050402,0.018950,-0.042911,0.009943,-0.047927,0.041817,-0.997975,0.004775,-0.006615,0.017735,23.414558,26.209314,-35.562267,,,,,,,
1508183853.460111,-0.048312,-0.041627,3.050413,-0.005849,0.008249,-0.001444,-0.048252,0.041615,-0.997968,0.000202,-0.007710,0.018583,23.407772,26.191523,-35.579838,,,,,,,
1508183853.480104,-0.048085,-0.041652,3.050325,-0.004751,-0.004528,-0.004458,-0.048025,0.041640,-0.997978,0.012533,-0.005324,0.002418,23.411316,26.193701,-35.575901,,,,,,,
1508183853.500099,-0.048237,-0.041562,3.050430,0.002877,-0.038638,0.006694,-0.048177,0.041550,-0.997974,-0.004634,0.006836,0.001819,23.412975,26.189913,-35.577599,,,,,,,
1508183853.520116,-0.048766,-0.041480,3.050269,-0.001607,0.004020,-0.017380,-0.048705,0.041468,-0.997952,-0.005784,0.000356,0.005475,23.399910,26.187771,-35.587769,,,,,,,
1508183853.540132,-0.047895,-0.041616,3.049813,-0.001758,0.053024,-0.019157,-0.047836,0.041604,-0.997988,0.007232,0.004813,0.000445,23.391211,26.195223,-35.588009,,,,,,,
1508183853.560127,-0.046945,-0.041388,3.049824,0.015644,-0.013075,0.007380,-0.046887,0.041376,-0.998043,-0.003833,-0.002649,0.002056,23.433403,26.204071,-35.553715,,,,,,,
1508183853.580148,-0.047979,-0.040845,3.050044,0.021040,-0.026929,0.008643,-0.047921,0.040833,-0.998016,-0.017738,-0.003327,0.007095,23.434973,26.187716,-35.564732,,,,,,,
1508183853.600130,-0.048403,-0.040802,3.049662,-0.015679,0.038147,-0.035992,-0.048344,0.040791,-0.997997,-0.021724,0.000576,0.020809,23.383177,26.172470,-35.610023,,,,,,,
1508183853.620155,-0.047146,-0.041734,3.048754,-0.033948,0.061592,-0.038451,-0.047087,0.041721,-0.998019,0.017424,0.012432,0.000018,23.388340,26.217731,-35.573315,,,,,,,
1508183853.640167,-0.046257,-0.042060,3.048425,0.014506,-0.004529,-0.005539,-0.046199,0.042048,-0.998047,0.017589,0.011953,-0.000412,23.418444,26.249538,-35.530025,,,,,,,
1508183853.660158,-0.046705,-0.041761,3.048695,0.000806,-0.048249,0.019630,-0.046647,0.041749,-0.998039,0.007203,-0.005692,0.006599,23.429655,26.253626,-35.519611,,,,,,,
1508183853.680153,-0.047562,-0.042105,3.048933,-0.013243,-0.016263,0.006381,-0.047501,0.042093,-0.997984,-0.008529,0.003577,0.001478,23.408615,26.241049,-35.542770,,,,,,,
1508183853.700185,-0.047600,-0.042261,3.048872,-0.022994,0.011459,-0.005743,-0.047539,0.042248,-0.997976,-0.005623,-0.008419,0.000386,23.399750,26.251001,-35.541260,,,,,,,
1508183853.720182,-0.047388,-0.042409,3.048563,-0.014501,0.016815,-0.021821,-0.047327,0.042397,-0.997979,-0.011984,-0.004570,-0.008094,23.398918,26.257965,-35.536667,,,,,,,
1508183853.740181,-0.047141,-0.042514,3.047907,-0.009246,0.034948,-0.034884,-0.047081,0.042502,-0.997986,0.000755,0.008341,-0.017715,23.388388,26.279951,-35.527340,,,,,,,
1508183853.760204,-0.046257,-0.042438,3.047322,0.028259,0.026400,-0.026257,-0.046199,0.042426,-0.998031,0.005275,0.009271,-0.018098,23.405518,26.299967,-35.501236,,,,,,,
1508183853.780184,-0.045936,-0.041586,3.047135,0.045565,-0.006679,0.000867,-0.045880,0.041574,-0.998081,0.009763,-0.008905,0.000416,23.405972,26.293772,-35.505527,,,,,,,
1508183853.800209,-0.046243,-0.040492,3.047480,0.042449,-0.022685,0.014963,-0.046189,0.040481,-0.998112,-0.005615,-0.006530,0.010273,23.412298,26.237848,-35.542709,,,,,,,
1508183853.820222,-0.046975,-0.039655,3.047677,0.004922,-0.006681,0.006229,-0.046921,0.039644,-0.998112,-0.008850,-0.004122,0.006977,23.395155,26.197920,-35.583424,,,,,,,
1508183853.840212,-0.046885,-0.039841,3.047633,-0.004835,0.025298,-0.003824,-0.046830,0.039831,-0.998108,-0.008483,0.002665,0.006379,23.387320,26.193644,-35.591724,,,,,,,
1508183853.860223,-0.046840,-0.039599,3.047710,0.010274,-0.002431,0.010428,-0.046786,0.039588,-0.998120,0.000156,-0.001456,-0.005725,23.390932,26.194984,-35.588360,,,,,,,
1508183853.880223,-0.047966,-0.038797,3.048007,0.028627,-0.052511,0.014340,-0.047911,0.038787,-0.998098,-0.011812,-0.008605,0.001516,23.376167,26.168804,-35.617313,,,,,,,
1508183853.900240,-0.048815,-0.038407,3.048107,0.010233,-0.004535,-0.004470,-0.048760,0.038397,-0.998072,-0.011742,-0.001685,0.005946,23.351212,26.149570,-35.647797,,,,,,,
1508183853.920227,-0.048340,-0.038553,3.047758,-0.003915,0.059412,-0.019248,-0.048285,0.038544,-0.998090,0.008688,0.004563,0.005612,23.332680,26.147755,-35.661266,,,,,,,
1508183853.940259,-0.047157,-0.038300,3.047786,0.017779,-0.002443,0.014688,-0.047105,0.038291,-0.998156,0.020860,-0.002478,-0.002516,23.356529,26.154301,-35.640839,,,,,,,
1508183853.960237,-0.047767,-0.037671,3.048454,0.028725,-0.062140,0.035805,-0.047715,0.037662,-0.998151,-0.001082,-0.003772,0.001660,23.388269,26.123806,-35.642395,,,,,,,
1508183853.980253,-0.049625,-0.037190,3.048842,0.006003,-0.012009,0.004172,-0.049570,0.037182,-0.998078,-0.009726,0.001042,0.004457,23.327593,26.079638,-35.714428,,,,,,,
1508183854.000279,-0.049077,-0.037391,3.048526,-0.019933,0.048762,-0.019082,-0.049023,0.037382,-0.998098,-0.003315,-0.000304,0.004659,23.321224,26.083206,-35.715984,,,,,,,
1508183854.020284,-0.048411,-0.037610,3.048394,0.005962,0.002903,0.005022,-0.048358,0.037601,-0.998122,0.018451,0.009030,-0.004594,23.346537,26.104872,-35.683601,,,,,,,
1508183854.040271,-0.048429,-0.037129,3.048879,0.040439,-0.050414,0.029228,-0.048377,0.037121,-0.998139,-0.007043,-0.004025,0.008591,23.359871,26.087376,-35.687668,,,,,,,
1508183854.060297,-0.049446,-0.036417,3.049473,0.028543,-0.014183,0.023380,-0.049394,0.036409,-0.998116,-0.016036,-0.001573,0.010399,23.353575,26.054996,-35.715431,,,,,,,
1508183854.080286,-0.049620,-0.036198,3.049488,-0.010201,0.026367,-0.008101,-0.049567,0.036190,-0.998115,-0.011987,-0.008358,0.009361,23.340153,26.031841,-35.741081,,,,,,,
1508183854.100309,-0.049069,-0.036365,3.049277,-0.028375,0.022109,-0.006960,-0.049016,0.036357,-0.998136,0.003194,0.000157,-0.003649,23.341669,26.039124,-35.734791,,,,,,,
