timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508183985.348765,0.011357,-0.036922,-3.119957,0.005988,0.009338,-0.025216,0.011349,0.036914,-0.999254,0.012257,0.002194,-0.001005,12.829268,27.407658,-46.549778,,,,,,,
1508183985.368767,0.011592,-0.036649,-3.120232,0.024321,-0.015213,-0.003541,0.011584,0.036641,-0.999261,0.015851,0.006511,0.003458,12.828699,27.403128,-46.552601,,,,,,,
1508183985.388788,0.011569,-0.036254,-3.120006,0.032930,-0.010991,0.015585,0.011561,0.036246,-0.999276,0.011953,0.009683,0.004662,12.849946,27.388483,-46.555359,,,,,,,
1508183985.408796,0.011684,-0.036036,-3.119758,0.006119,0.001812,0.009022,0.011676,0.036029,-0.999283,0.006115,-0.003009,0.009247,12.858477,27.372473,-46.562424,,,,,,,
1508183985.428787,0.012129,-0.036047,-3.119565,-0.000285,-0.000321,0.012257,0.012121,0.036039,-0.999277,0.010493,0.001070,0.004007,12.875640,27.363289,-46.563076,,,,,,,
1508183985.448809,0.012161,-0.036010,-3.119244,0.007233,-0.002466,0.018680,0.012153,0.036002,-0.999278,0.006035,0.001885,0.004191,12.887442,27.362022,-46.560555,,,,,,,
1508183985.468791,0.012314,-0.035875,-3.118895,0.011438,0.017781,0.014118,0.012306,0.035867,-0.999281,-0.002113,0.003363,0.003706,12.901268,27.355522,-46.560547,,,,,,,
1508183985.488816,0.012754,-0.035638,-3.118514,0.011520,-0.001407,0.021860,0.012746,0.035630,-0.999284,0.005748,-0.003480,0.005403,12.933121,27.337917,-46.562050,,,,,,,
1508183985.508802,0.012648,-0.035380,-3.118126,0.005083,-0.000332,0.017584,0.012639,0.035373,-0.999294,-0.001028,-0.004230,0.008877,12.945520,27.325539,-46.565868,,,,,,,
1508183985.528819,0.012764,-0.035270,-3.117852,-0.005682,0.017786,0.014131,0.012756,0.035263,-0.999297,-0.005340,-0.008560,0.008681,12.949432,27.306805,-46.575768,,,,,,,
1508183985.548832,0.013069,-0.035252,-3.117584,0.000745,0.014591,0.013106,0.013060,0.035245,-0.999293,-0.000762,0.000567,0.001964,12.977865,27.303270,-46.569927,,,,,,,
1508183985.568850,0.013189,-0.035178,-3.117263,0.008283,-0.001390,0.013332,0.013180,0.035171,-0.999294,-0.000118,0.002854,0.001354,12.991406,27.298512,-46.568939,,,,,,,
1508183985.588834,0.013212,-0.035046,-3.116942,0.001857,0.004994,0.017509,0.013204,0.035039,-0.999299,-0.001882,-0.003240,0.006928,12.997853,27.289124,-46.572643,,,,,,,
1508183985.608842,0.013193,-0.035082,-3.116640,-0.017404,0.001809,0.014371,0.013184,0.035074,-0.999298,-0.007538,-0.002497,0.005981,13.011992,27.283777,-46.571827,,,,,,,
1508183985.628870,0.013040,-0.035507,-3.116399,-0.016367,0.006082,0.007911,0.013032,0.035499,-0.999285,-0.009843,0.001000,0.002886,13.016905,27.291437,-46.565971,,,,,,,
1508183985.648852,0.013134,-0.035678,-3.116363,0.009264,0.015674,0.001354,0.013125,0.035670,-0.999277,-0.007174,0.008367,-0.001455,13.008164,27.310747,-46.557091,,,,,,,
1508183985.668870,0.013227,-0.035463,-3.116270,0.005055,-0.002444,0.006952,0.013219,0.035456,-0.999284,-0.003133,0.002111,0.010362,13.018871,27.299919,-46.560444,,,,,,,
1508183985.688868,0.013188,-0.035567,-3.116215,-0.018545,0.010357,0.000386,0.013179,0.035560,-0.999281,-0.000286,-0.002921,0.005781,13.024610,27.297056,-46.560520,,,,,,,
1508183985.708873,0.013508,-0.035985,-3.116154,-0.029211,0.008212,0.008956,0.013499,0.035977,-0.999261,0.001241,0.000308,0.000497,13.030654,27.306208,-46.553463,,,,,,,
1508183985.728898,0.013053,-0.036332,-3.115832,0.006204,-0.018444,0.016780,0.013044,0.036324,-0.999255,-0.007719,0.000800,0.001345,13.036237,27.333454,-46.535904,,,,,,,
1508183985.748910,0.012696,-0.035984,-3.115647,-0.001374,0.000751,0.006910,0.012687,0.035976,-0.999272,-0.008537,-0.008373,0.005620,13.012737,27.313454,-46.554222,,,,,,,
1508183985.768894,0.012600,-0.036127,-3.115698,-0.024934,-0.009864,-0.008913,0.012592,0.036119,-0.999268,0.003217,-0.002534,-0.000350,13.009513,27.311174,-46.556461,,,,,,,
1508183985.788896,0.012402,-0.036594,-3.115731,-0.014222,-0.003495,0.000583,0.012393,0.036586,-0.999254,-0.004458,0.010549,-0.007216,12.998275,27.338558,-46.543522,,,,,,,
1508183985.808929,0.012469,-0.036345,-3.115876,0.001741,0.012505,-0.012456,0.012461,0.036337,-0.999262,-0.001520,-0.007772,-0.001120,12.997749,27.341434,-46.541985,,,,,,,
1508183985.828937,0.012647,-0.036572,-3.116150,-0.005767,0.013581,-0.016731,0.012638,0.036564,-0.999251,-0.002277,0.006908,0.001128,12.998353,27.334480,-46.545902,,,,,,,
1508183985.848943,0.013126,-0.036692,-3.116608,0.013488,0.008264,-0.023066,0.013117,0.036684,-0.999241,0.008536,0.002287,0.000126,13.000773,27.357603,-46.531635,,,,,,,
1508183985.868951,0.013574,-0.036401,-3.116811,0.000761,-0.007750,-0.002565,0.013565,0.036393,-0.999245,0.008805,-0.001634,0.003167,13.017255,27.348986,-46.532097,,,,,,,
1508183985.888957,0.013304,-0.036441,-3.116745,0.000807,-0.017348,0.002906,0.013295,0.036433,-0.999248,-0.001393,0.000737,0.005092,13.023232,27.347961,-46.531021,,,,,,,
1508183985.908963,0.013293,-0.036579,-3.116819,-0.000397,0.016760,-0.007185,0.013284,0.036570,-0.999243,0.002753,0.005101,0.007345,13.012731,27.348722,-46.533516,,,,,,,
1508183985.928968,0.013714,-0.036633,-3.116986,-0.007891,0.016764,-0.008245,0.013704,0.036624,-0.999235,0.003156,-0.000034,0.006529,13.017058,27.356201,-46.527908,,,,,,,
1508183985.948977,0.013986,-0.037009,-3.117254,-0.027163,0.010397,-0.017735,0.013976,0.037001,-0.999218,-0.004012,-0.003279,0.004497,13.031699,27.366360,-46.517834,,,,,,,
1508183985.968980,0.014137,-0.037521,-3.117518,-0.003600,0.009313,-0.011339,0.014126,0.037512,-0.999196,-0.000210,0.000742,0.005407,13.029989,27.400148,-46.498417,,,,,,,
1508183985.988990,0.014499,-0.037518,-3.117660,-0.001468,0.017824,-0.006133,0.014488,0.037510,-0.999191,0.001701,-0.000843,0.008591,13.036838,27.409443,-46.491020,,,,,,,
1508183986.008995,0.014842,-0.037553,-3.117738,-0.005682,0.002899,0.000484,0.014831,0.037544,-0.999185,0.002412,-0.007347,0.007928,13.056888,27.409861,-46.485146,,,,,,,
1508183986.029004,0.014517,-0.037310,-3.117657,-0.022723,-0.023726,-0.000183,0.014506,0.037301,-0.999199,-0.010661,-0.003229,0.002556,13.053957,27.407234,-46.487522,,,,,,,
1508183986.049010,0.013939,-0.037708,-3.117923,-0.029291,0.007201,-0.017687,0.013929,0.037699,-0.999192,-0.004499,-0.000788,-0.002593,13.046559,27.400141,-46.493778,,,,,,,
1508183986.069018,0.014572,-0.038373,-3.118410,-0.022966,0.030651,-0.025496,0.014561,0.038364,-0.999158,0.004085,0.004559,-0.008090,13.021925,27.444057,-46.474777,,,,,,,
1508183986.088941,0.015347,-0.038679,-3.118664,0.005006,0.001844,-0.004840,0.015335,0.038670,-0.999134,0.009583,-0.001972,-0.006450,13.045782,27.473698,-46.450569,,,,,,,
1508183986.108969,0.015245,-0.038334,-3.118533,-0.002377,-0.017358,0.010373,0.015233,0.038325,-0.999149,0.000575,-0.006022,-0.003109,13.059594,27.465509,-46.451530,,,,,,,
1508183986.128950,0.015032,-0.038682,-3.118313,-0.005613,-0.007772,0.011302,0.015020,0.038673,-0.999139,0.001109,0.008568,-0.013160,13.053310,27.461451,-46.455696,,,,,,,
1508183986.148983,0.015054,-0.038369,-3.118164,0.037165,-0.005641,0.005908,0.015043,0.038359,-0.999151,0.004641,-0.000823,-0.003275,13.053763,27.466053,-46.452847,,,,,,,
1508183986.168989,0.015070,-0.037074,-3.117853,0.035088,-0.010993,0.019849,0.015059,0.037066,-0.999199,0.002016,-0.013140,0.008126,13.064842,27.414656,-46.480087,,,,,,,
1508183986.188997,0.014518,-0.036190,-3.117412,0.014776,-0.015253,0.020992,0.014508,0.036182,-0.999240,-0.009701,-0.010898,0.010333,13.064400,27.367140,-46.508202,,,,,,,
1508183986.209003,0.014129,-0.035879,-3.117283,-0.013213,0.016755,-0.001843,0.014120,0.035871,-0.999257,-0.009359,-0.005369,0.009892,13.044510,27.330429,-46.535366,,,,,,,
1508183986.229010,0.014718,-0.036307,-3.117471,-0.005803,0.031688,-0.012728,0.014708,0.036299,-0.999233,0.002519,0.004030,-0.002675,13.052832,27.344904,-46.524529,,,,,,,
1508183986.249018,0.015360,-0.036127,-3.117646,0.012496,0.003973,-0.004876,0.015349,0.036119,-0.999230,0.009309,-0.001741,-0.001106,13.075586,27.351082,-46.514503,,,,,,,
1508183986.269022,0.015262,-0.035675,-3.117418,0.021196,-0.019506,0.016784,0.015251,0.035668,-0.999247,0.002846,-0.002984,0.002970,13.087438,27.329830,-46.523663,,,,,,,
1508183986.289012,0.014997,-0.035440,-3.117030,0.000824,-0.004590,0.017649,0.014987,0.035432,-0.999260,-0.001803,0.001158,0.005913,13.086128,27.305037,-46.538586,,,,,,,
1508183986.309037,0.015094,-0.035775,-3.116904,-0.013196,0.016746,0.003489,0.015084,0.035767,-0.999246,-0.001076,0.004806,-0.001913,13.086785,27.308836,-46.536171,,,,,,,
1508183986.329042,0.015459,-0.036298,-3.116907,0.009262,0.016747,0.000273,0.015448,0.036290,-0.999222,0.002084,0.013286,-0.005524,13.104198,27.333460,-46.516808,,,,,,,
1508183986.349050,0.015470,-0.035669,-3.116811,0.029707,-0.013100,0.008154,0.015459,0.035661,-0.999244,0.001905,-0.003877,0.005272,13.110030,27.343607,-46.509205,,,,,,,
1508183986.369058,0.015264,-0.035424,-3.116713,0.010344,0.011416,-0.000710,0.015254,0.035416,-0.999256,-0.005351,0.003692,0.003162,13.107146,27.302965,-46.533886,,,,,,,
1508183986.389064,0.015776,-0.035452,-3.116852,0.007045,0.032737,-0.008481,0.015766,0.035445,-0.999247,0.000958,0.003205,0.000025,13.119089,27.301550,-46.531353,,,,,,,
