timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508183684.861927,0.045174,0.076280,-3.136944,0.027192,-0.009102,0.007698,0.045028,-0.076206,-0.996075,0.007249,0.000431,-0.001575,1.006643,17.573273,-62.250877,,,,,,,
1508183684.881932,0.044955,0.077017,-3.136428,0.035885,-0.019818,0.038770,0.044807,-0.076941,-0.996028,0.001458,-0.000223,-0.003972,1.014802,17.532001,-62.262383,,,,,,,
1508183684.901959,0.044461,0.077670,-3.135762,0.011208,-0.008075,0.029021,0.044312,-0.077592,-0.996000,-0.010758,-0.005447,0.006544,1.005956,17.500402,-62.271416,,,,,,,
1508183684.921961,0.043939,0.077325,-3.135257,0.002612,-0.005927,0.020466,0.043793,-0.077248,-0.996050,-0.004777,0.012871,-0.004545,0.984501,17.484320,-62.276276,,,,,,,
1508183684.941961,0.043756,0.077454,-3.135026,0.031428,0.003680,0.006443,0.043611,-0.077377,-0.996048,-0.003785,0.002411,-0.005417,0.976795,17.503378,-62.271042,,,,,,,
1508183684.961978,0.043890,0.077923,-3.134810,0.021861,-0.003799,0.019354,0.043743,-0.077844,-0.996005,0.005879,0.003763,-0.007031,0.974830,17.475502,-62.278900,,,,,,,
1508183684.981982,0.043300,0.078521,-3.134251,0.033743,-0.029390,0.030380,0.043153,-0.078441,-0.995984,-0.005906,0.004207,0.001447,0.975316,17.435684,-62.290058,,,,,,,
1508183685.001984,0.042320,0.079328,-3.133846,0.007908,0.002608,0.011808,0.042174,-0.079244,-0.995963,-0.015410,-0.007792,0.009055,0.930271,17.402098,-62.300137,,,,,,,
1508183685.021993,0.042651,0.079018,-3.133735,-0.025368,0.028199,0.002931,0.042505,-0.078935,-0.995973,0.000556,0.004427,-0.000700,0.911567,17.377285,-62.307335,,,,,,,
1508183685.041998,0.043079,0.078818,-3.133545,0.031479,0.001520,0.020336,0.042932,-0.078737,-0.995971,0.003165,0.004121,-0.005464,0.956368,17.417244,-62.295506,,,,,,,
1508183685.062000,0.042332,0.079939,-3.132889,0.048771,-0.038995,0.035839,0.042184,-0.079854,-0.995914,-0.005258,-0.004909,-0.000882,0.954691,17.383604,-62.304924,,,,,,,
1508183685.082010,0.041019,0.080709,-3.132425,0.021927,-0.035744,0.010221,0.040874,-0.080622,-0.995906,-0.011195,-0.001760,0.001064,0.895391,17.317793,-62.324135,,,,,,,
1508183685.102013,0.040730,0.080661,-3.132596,0.000283,0.020765,-0.012975,0.040586,-0.080573,-0.995922,-0.003279,0.005653,0.005794,0.837084,17.293314,-62.331741,,,,,,,
1508183685.122005,0.041749,0.080485,-3.132738,0.009909,0.034589,-0.001453,0.041601,-0.080398,-0.995894,0.011774,0.005844,0.000670,0.860811,17.307928,-62.327362,,,,,,,
1508183685.142027,0.042387,0.080520,-3.132581,0.031531,-0.017653,0.019548,0.042237,-0.080433,-0.995865,0.011519,0.013706,0.001663,0.931192,17.308998,-62.326054,,,,,,,
1508183685.162029,0.041813,0.081312,-3.132237,0.058303,-0.028305,0.016484,0.041663,-0.081222,-0.995825,0.000360,0.002441,0.008017,0.921212,17.276550,-62.335201,,,,,,,
1508183685.182011,0.041793,0.082057,-3.132071,0.036732,0.016462,0.005188,0.041641,-0.081965,-0.995765,0.002045,0.006602,0.007926,0.911917,17.225554,-62.349449,,,,,,,
1508183685.202042,0.042544,0.082721,-3.132107,0.028126,0.029253,0.002876,0.042386,-0.082626,-0.995679,0.008594,0.002563,0.009305,0.924369,17.202621,-62.355598,,,,,,,
1508183685.222046,0.043049,0.083080,-3.131797,-0.001666,-0.001678,0.026806,0.042887,-0.082985,-0.995628,0.005651,-0.000771,-0.002313,0.993841,17.151073,-62.368725,,,,,,,
1508183685.242039,0.042782,0.083418,-3.131246,0.042218,-0.010202,0.022631,0.042620,-0.083321,-0.995611,-0.005312,0.006844,-0.003382,0.999750,17.143892,-62.370609,,,,,,,
1508183685.262058,0.042828,0.084410,-3.131081,0.045212,0.038840,0.000591,0.042662,-0.084309,-0.995526,-0.013320,0.001515,0.001538,0.998794,17.114689,-62.378643,,,,,,,
