timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1505914730.340787,0.010307,0.539229,-0.617165,0.011578,-0.017579,0.032758,0.008844,-0.513474,-0.858059,0.007376,-0.006911,0.030346,-5.672282,-17.096363,-28.535919,,,,,,,
1505914730.360755,0.009584,0.538763,-0.616289,-0.039753,-0.010275,0.039992,0.008226,-0.513075,-0.858305,0.007399,0.001386,0.022688,-5.682727,-17.100395,-28.531422,,,,,,,
,,,,,,,,,,,,,,,,42.293704,-71.264098,61.448730,-1.000000,-1.000000,1505914730.303212,
,,,,,,,,,,,,,,,,42.293699,-71.264000,61.448730,-1.000000,-1.000000,1505914710.613424,
1505914730.380721,0.009123,0.537856,-0.615364,-0.034440,0.001435,0.039023,0.007835,-0.512296,-0.858773,0.002739,0.006986,0.000542,-5.712435,-17.068409,-28.544640,,,,,,,
1505914730.400691,0.008801,0.537240,-0.614624,-0.026817,0.001506,0.027289,0.007561,-0.511767,-0.859091,0.001854,0.004107,-0.003763,-5.719095,-17.046413,-28.556448,,,,,,,
1505914730.420659,0.008422,0.536844,-0.614167,-0.017029,-0.013308,0.016548,0.007238,-0.511426,-0.859297,0.004329,-0.000216,-0.022371,-5.732895,-17.019953,-28.569462,,,,,,,
1505914730.440613,0.007992,0.536285,-0.613991,-0.019030,-0.024971,0.008969,0.006870,-0.510946,-0.859585,0.003628,0.005667,-0.007694,-5.744188,-17.011665,-28.572126,,,,,,,
1505914730.460594,0.007443,0.535832,-0.613841,-0.021138,-0.019645,0.005775,0.006400,-0.510557,-0.859820,0.002404,0.008344,0.002337,-5.752812,-16.997116,-28.579052,,,,,,,
1505914730.480562,0.007191,0.534928,-0.613770,0.010844,-0.017460,0.007050,0.006186,-0.509779,-0.860283,0.001825,0.013609,-0.008034,-5.769547,-16.970524,-28.591478,,,,,,,
1505914730.500502,0.006935,0.535244,-0.613638,0.032137,-0.007854,0.008306,0.005965,-0.510051,-0.860124,0.002580,0.002162,-0.003631,-5.777036,-16.967741,-28.591618,,,,,,,
