timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1505840934.359039,0.020706,0.002080,2.597153,0.001095,-0.001289,-0.000514,0.020704,-0.002080,-0.999783,-0.000929,-0.004497,-0.004184,-8.498389,4.367660,-41.751499,,,,,,,
1505840934.379023,0.020714,0.002087,2.597142,0.000031,-0.002354,-0.000527,0.020713,-0.002087,-0.999783,0.001382,-0.000324,-0.005664,-8.498133,4.364714,-41.751862,,,,,,,
,,,,,,,,,,,,,,,,42.293409,-71.264211,59.843155,-1.000000,-1.000000,1505840921.978444,
1505840934.398992,0.020700,0.001970,2.597137,0.000021,0.000835,-0.000507,0.020698,-0.001970,-0.999784,0.000649,0.004656,-0.002902,-8.499136,4.364435,-41.751686,,,,,,,
,,,,,,,,,,,,,,,,42.293409,-71.264211,59.843155,-1.000000,-1.000000,1505840912.978444,
1505840934.418945,0.020687,0.001902,2.597137,0.001073,0.000832,0.000570,0.020686,-0.001902,-0.999784,-0.000193,-0.000127,-0.002444,-8.499103,4.371995,-41.750900,,,,,,,
,,,,,,,,,,,,,,,,42.293409,-71.264211,59.843155,-1.000000,-1.000000,1505840921.978444,
1505840934.438931,0.020717,0.001939,2.597116,0.001091,-0.000226,-0.000507,0.020716,-0.001939,-0.999784,0.001776,-0.001784,-0.004352,-8.498976,4.371991,-41.750923,,,,,,,
1505840934.458902,0.020732,0.001999,2.597109,0.001089,-0.000307,-0.000594,0.020730,-0.001999,-0.999783,0.000724,-0.000228,-0.006412,-8.497679,4.367969,-41.751610,,,,,,,
1505840934.478850,0.020732,0.001945,2.597098,-0.001049,0.000752,-0.000600,0.020730,-0.001945,-0.999783,-0.000528,0.002098,-0.004154,-8.496767,4.367399,-41.751854,,,,,,,
1505840934.498842,0.020689,0.001922,2.597074,0.001095,-0.002433,-0.000606,0.020688,-0.001922,-0.999784,0.001041,0.001586,-0.003619,-8.497544,4.369565,-41.751472,,,,,,,
1505840934.518811,0.020677,0.001931,2.597052,-0.001046,-0.000311,-0.000606,0.020676,-0.001931,-0.999784,0.000290,-0.000449,-0.003389,-8.499845,4.370028,-41.750957,,,,,,,
1505840934.538757,0.020650,0.001992,2.597045,-0.001042,-0.001374,-0.000613,0.020648,-0.001992,-0.999785,-0.000293,-0.000617,-0.002931,-8.499709,4.369796,-41.751007,,,,,,,
,,,,,,,,,,,,,,,,42.293431,-71.264317,59.843155,-1.000000,-1.000000,1505840934.489190,
1505840934.558732,0.020618,0.002002,2.597022,-0.001045,-0.000311,-0.000606,0.020617,-0.002002,-0.999785,-0.000262,0.000583,-0.005494,-8.500961,4.367390,-41.751007,,,,,,,
1505840934.578711,0.020635,0.001946,2.597016,0.000010,-0.001377,0.000464,0.020634,-0.001946,-0.999785,0.001049,0.001641,-0.003526,-8.502244,4.367309,-41.750748,,,,,,,
,,,,,,,,,,,,,,,,42.293391,-71.264378,59.843155,-1.000000,-1.000000,1505840934.545218,
1505840934.598673,0.020659,0.001874,2.596992,0.000030,0.000704,-0.001717,0.020657,-0.001874,-0.999785,0.000537,0.000806,-0.004594,-8.501624,4.368851,-41.750717,,,,,,,
,,,,,,,,,,,,,,,,42.293352,-71.264437,59.843155,-1.000000,-1.000000,1505840934.573197,
,,,,,,,,,,,,,,,,42.293314,-71.264495,59.843155,-1.000000,-1.000000,1505840934.579611,
1505840934.618637,0.020677,0.001975,2.596990,0.001076,-0.001431,0.000419,0.020675,-0.001975,-0.999784,0.000992,-0.001854,-0.003176,-8.500469,4.368986,-41.750935,,,,,,,
1505840934.638629,0.020682,0.001988,2.596977,-0.001058,-0.001435,0.000406,0.020680,-0.001988,-0.999784,0.000789,-0.002041,-0.002840,-8.500216,4.368318,-41.751057,,,,,,,
