timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508184071.818374,0.035842,0.014417,-3.089494,0.007068,0.031910,-0.063843,0.035831,-0.014417,-0.999254,-0.015307,-0.004916,0.012331,21.481529,21.180735,-28.611036,,,,,,,
1508184071.838374,0.036493,0.014121,-3.091070,-0.022940,0.025566,-0.083989,0.036481,-0.014120,-0.999235,-0.015256,-0.010111,0.012144,21.476944,21.194622,-28.604191,,,,,,,
1508184071.858368,0.036436,0.013582,-3.092653,-0.045280,-0.011724,-0.078100,0.036425,-0.013582,-0.999244,0.000776,-0.007490,0.012718,21.437374,21.260719,-28.584816,,,,,,,
1508184071.878385,0.035584,0.012520,-3.093937,-0.040897,-0.025613,-0.058708,0.035573,-0.012519,-0.999289,-0.014089,0.001701,0.014731,21.393726,21.319597,-28.573664,,,,,,,
1508184071.898387,0.035242,0.012425,-3.095229,0.016832,-0.021341,-0.071609,0.035232,-0.012425,-0.999302,-0.014113,0.005467,0.015186,21.365641,21.342741,-28.577398,,,,,,,
1508184071.918397,0.034480,0.013218,-3.096773,0.009311,-0.016004,-0.077012,0.034470,-0.013217,-0.999318,-0.005326,-0.007702,0.019948,21.295364,21.368769,-28.610382,,,,,,,
1508184071.938415,0.034191,0.013194,-3.098253,-0.037773,-0.004294,-0.067550,0.034181,-0.013194,-0.999329,0.000441,-0.008901,0.016525,21.248360,21.394211,-28.626314,,,,,,,
1508184071.958419,0.034058,0.011946,-3.099358,-0.038721,-0.035205,-0.057504,0.034049,-0.011946,-0.999349,0.004876,0.012098,-0.000605,21.229183,21.427330,-28.615768,,,,,,,
1508184071.978426,0.032400,0.011388,-3.100575,-0.010846,-0.051198,-0.055161,0.032392,-0.011388,-0.999410,-0.019498,-0.000499,0.015005,21.163784,21.493710,-28.614429,,,,,,,
1508184071.998436,0.031562,0.011049,-3.101396,-0.004576,0.012687,-0.043296,0.031554,-0.011049,-0.999441,-0.031676,0.008348,0.015966,21.098852,21.521873,-28.641199,,,,,,,
1508184072.018443,0.030293,0.010109,-3.102764,-0.015365,-0.005342,-0.085679,0.030287,-0.010109,-0.999490,-0.026884,0.013436,0.013879,21.064802,21.552242,-28.643429,,,,,,,
1508184072.038422,0.029370,0.009953,-3.104440,-0.013033,-0.056500,-0.073209,0.029364,-0.009953,-0.999519,-0.012641,-0.003627,0.023002,20.990425,21.613747,-28.651686,,,,,,,
1508184072.058457,0.027546,0.009534,-3.105507,-0.026732,-0.099159,-0.046989,0.027541,-0.009534,-0.999575,-0.009108,-0.004763,0.024249,20.909300,21.645479,-28.687025,,,,,,,
