timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508436980.713204,-0.091972,0.039507,-0.697603,0.165885,0.068108,-0.048365,-0.091771,-0.039496,-0.994997,0.029622,-0.007302,0.021150,-2.767115,3.144172,-53.689522,,,,,,,
1508436980.733183,-0.090229,0.043505,-0.697948,0.204387,0.086186,-0.037993,-0.090021,-0.043491,-0.994990,0.027261,-0.005871,0.020991,-2.727871,3.049859,-53.696968,,,,,,,
1508436980.753196,-0.086746,0.047140,-0.699203,0.149525,0.119345,-0.097080,-0.086541,-0.047123,-0.995133,0.017754,-0.015881,0.034516,-2.509927,2.733691,-53.724617,,,,,,,
1508436980.773217,-0.082630,0.049130,-0.700799,0.063635,0.238631,-0.076353,-0.082436,-0.049110,-0.995386,0.007546,-0.021599,0.041070,-2.389219,2.629227,-53.735332,,,,,,,
1508436980.793199,-0.078269,0.050474,-0.702422,0.064803,0.188595,-0.091623,-0.078090,-0.050453,-0.995669,0.046809,0.014579,0.011111,-2.204143,2.572885,-53.745968,,,,,,,
1508436980.813225,-0.071246,0.051021,-0.703466,0.098126,0.216146,-0.018473,-0.071093,-0.050999,-0.996165,0.015963,0.010579,0.011332,-1.727010,2.519511,-53.765945,,,,,,,
1508436980.833232,-0.066333,0.054231,-0.703615,0.200691,0.240675,-0.045563,-0.066187,-0.054205,-0.996334,0.003184,0.045080,-0.010716,-1.535789,2.421702,-53.776241,,,,,,,
1508436980.853227,-0.060344,0.060173,-0.704759,0.358742,0.339718,-0.053516,-0.060198,-0.060137,-0.996373,0.037508,0.063387,-0.018641,-1.339141,2.258195,-53.788612,,,,,,,
1508436980.873222,-0.051608,0.066817,-0.703513,0.449958,0.396953,0.081005,-0.051470,-0.066768,-0.996440,0.041292,0.015620,-0.039479,-0.925274,1.995757,-53.807697,,,,,,,
1508436980.893245,-0.042428,0.076363,-0.701232,0.497917,0.482124,0.098927,-0.042291,-0.076288,-0.996188,0.019007,0.042826,-0.055569,-0.239774,1.259353,-53.837383,,,,,,,
