timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508437065.388788,-0.018291,-0.041171,-0.799218,-0.071768,0.071754,0.028263,-0.018274,0.041159,-0.998985,0.034464,0.029657,0.011086,-0.452189,16.235470,-48.388321,,,,,,,
1508437065.408816,-0.017465,-0.042989,-0.797975,-0.107836,0.026912,0.084388,-0.017448,0.042975,-0.998924,0.031593,0.010430,0.011802,-0.392167,16.288277,-48.371094,,,,,,,
1508437065.428797,-0.016824,-0.047007,-0.796586,-0.119806,0.061013,0.048696,-0.016804,0.046990,-0.998754,-0.004482,0.030219,-0.002406,-0.308370,16.448423,-48.317482,,,,,,,
1508437065.448815,-0.014083,-0.048714,-0.796360,-0.065746,0.182531,0.001042,-0.014066,0.048695,-0.998715,-0.004504,0.029919,0.001873,-0.207335,16.616976,-48.260311,,,,,,,
1508437065.468829,-0.010151,-0.049748,-0.796196,-0.051806,0.187826,0.014816,-0.010139,0.049727,-0.998711,0.017493,0.012940,-0.006126,-0.115289,16.646660,-48.250389,,,,,,,
1508437065.488837,-0.005036,-0.050413,-0.795230,-0.042847,0.104650,0.061868,-0.005029,0.050392,-0.998717,0.046899,-0.006584,-0.009950,0.144781,16.720211,-48.224873,,,,,,,
1508437065.508814,-0.003137,-0.050847,-0.793593,-0.015979,0.098192,0.091798,-0.003133,0.050825,-0.998703,0.021108,0.000613,-0.001862,0.373220,16.730568,-48.220051,,,,,,,
1508437065.528848,-0.000515,-0.051413,-0.791790,-0.038626,0.145090,0.080471,-0.000515,0.051390,-0.998679,0.012615,-0.006041,-0.008524,0.438608,16.738672,-48.216686,,,,,,,
1508437065.548851,0.003673,-0.052714,-0.790223,-0.008814,0.190898,0.076586,0.003668,0.052690,-0.998604,0.012033,0.016722,-0.040275,0.698409,16.787006,-48.196815,,,,,,,
1508437065.568842,0.008344,-0.052298,-0.788500,0.038186,0.236658,0.092948,0.008333,0.052275,-0.998598,0.025343,0.020418,-0.076323,0.900293,16.817148,-48.182961,,,,,,,
1508437065.588862,0.013720,-0.050980,-0.786618,0.080914,0.270719,0.100952,0.013702,0.050958,-0.998607,0.028702,0.021216,-0.070744,1.097306,16.788437,-48.188889,,,,,,,
1508437065.608866,0.020988,-0.048768,-0.784115,0.156085,0.220569,0.137878,0.020961,0.048749,-0.998591,0.053334,0.013995,-0.064473,1.523094,16.645657,-48.226826,,,,,,,
1508437065.628870,0.025888,-0.045082,-0.780739,0.188242,0.265185,0.195853,0.025859,0.045067,-0.998649,0.021779,-0.001930,-0.033074,1.835874,16.541403,-48.251797,,,,,,,
1508437065.648878,0.031705,-0.041131,-0.776779,0.187111,0.281172,0.191357,0.031673,0.041120,-0.998652,0.010182,0.001803,-0.031591,2.073883,16.399349,-48.290630,,,,,,,
1508437065.668881,0.038256,-0.036698,-0.773752,0.167806,0.249311,0.148116,0.038221,0.036689,-0.998596,0.022234,-0.015327,0.005096,2.560191,16.118145,-48.361919,,,,,,,
1508437065.688886,0.043525,-0.033543,-0.770424,0.141128,0.268411,0.188378,0.043487,0.033537,-0.998491,0.016038,-0.025892,0.019777,2.837885,15.955997,-48.400177,,,,,,,
1508437065.708894,0.048396,-0.031001,-0.766756,0.101688,0.209846,0.181793,0.048354,0.030996,-0.998349,0.019411,-0.016531,0.015790,3.074317,15.845701,-48.421967,,,,,,,
1508437065.728896,0.053293,-0.028852,-0.763100,0.098793,0.116089,0.193819,0.053246,0.028848,-0.998165,0.035561,-0.001412,0.021953,3.343265,15.728492,-48.442352,,,,,,,
1508437065.748895,0.055078,-0.026428,-0.758573,0.110934,0.057377,0.254374,0.055031,0.026425,-0.998135,0.041526,-0.003797,0.036846,3.657903,15.586510,-48.465504,,,,,,,
1508437065.768909,0.057390,-0.023391,-0.753328,0.111227,-0.019353,0.274680,0.057343,0.023389,-0.998080,0.038467,-0.009779,0.038135,3.783806,15.460094,-48.496315,,,,,,,
1508437065.788913,0.056751,-0.021318,-0.747384,0.065430,-0.044993,0.317739,0.056707,0.021317,-0.998163,0.017985,-0.019989,0.036661,3.918653,15.370365,-48.514126,,,,,,,
1508437065.808893,0.056191,-0.019643,-0.741420,0.020426,-0.063017,0.281780,0.056151,0.019642,-0.998229,0.006547,-0.012180,0.033294,3.998612,15.225538,-48.553257,,,,,,,
1508437065.828924,0.054856,-0.019412,-0.735953,-0.010575,-0.077915,0.277754,0.054819,0.019411,-0.998308,0.008597,-0.015474,0.027574,4.040072,15.160824,-48.570072,,,,,,,
1508437065.848928,0.052662,-0.018430,-0.730541,0.007697,-0.123690,0.260277,0.052629,0.018429,-0.998444,-0.002367,-0.013683,0.013611,4.031946,15.139093,-48.577522,,,,,,,
1508437065.868935,0.049152,-0.017162,-0.725645,0.001178,-0.115123,0.236699,0.049125,0.017161,-0.998645,-0.023338,-0.017771,0.014392,3.926668,15.035144,-48.618416,,,,,,,
1508437065.888940,0.047543,-0.017494,-0.721307,-0.045073,-0.071369,0.203044,0.047517,0.017493,-0.998717,-0.019426,-0.019233,0.020034,3.908723,15.027824,-48.622124,,,,,,,
1508437065.908932,0.046222,-0.018205,-0.717420,-0.035502,-0.071336,0.184909,0.046198,0.018204,-0.998766,-0.012033,-0.003906,-0.002347,3.893224,15.063027,-48.612473,,,,,,,
1508437065.928952,0.043938,-0.018072,-0.713890,0.000855,-0.079838,0.169010,0.043916,0.018071,-0.998872,-0.016130,-0.004826,-0.009124,3.835536,15.059165,-48.618256,,,,,,,
1508437065.948936,0.042700,-0.017639,-0.711137,0.019842,-0.040332,0.120440,0.042680,0.017638,-0.998933,-0.017305,0.004945,-0.004622,3.820506,15.050426,-48.622143,,,,,,,
1508437065.968959,0.043065,-0.017333,-0.709053,0.004545,0.039614,0.095833,0.043045,0.017332,-0.998923,-0.028885,-0.004210,0.002325,3.838527,15.014319,-48.631886,,,,,,,
