timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508076504.785124,-0.037322,0.200512,1.845437,-0.075800,0.079726,-0.076913,-0.036565,-0.199171,-0.979282,0.006536,-0.017565,0.015446,19.234394,7.276566,-68.376343,,,,,,,
1508076504.805153,-0.034839,0.199998,1.843985,-0.057581,0.098847,-0.051613,-0.034137,-0.198668,-0.979472,0.009739,-0.023149,0.014827,19.366632,7.350896,-68.331047,,,,,,,
1508076504.825158,-0.033266,0.198521,1.843015,-0.091672,0.048788,-0.050862,-0.032606,-0.197220,-0.979817,0.014677,-0.026245,0.006688,19.427345,7.400348,-68.308472,,,,,,,
1508076504.845152,-0.032524,0.196769,1.841446,-0.073473,0.011563,-0.082325,-0.031891,-0.195501,-0.980185,0.009796,0.002554,-0.009378,19.503710,7.614878,-68.263115,,,,,,,
1508076504.865171,-0.031464,0.195784,1.840099,-0.024072,-0.005569,-0.042661,-0.030858,-0.194536,-0.980410,0.020878,0.004899,-0.015379,19.552589,7.730835,-68.236092,,,,,,,
1508076504.885155,-0.031785,0.195422,1.839206,-0.022956,-0.026864,-0.047684,-0.031175,-0.194180,-0.980470,0.021928,0.013959,-0.011076,19.541246,7.754167,-68.236702,,,,,,,
1508076504.905180,-0.031342,0.194759,1.838461,-0.036984,0.045515,-0.017801,-0.030745,-0.193530,-0.980613,0.022230,0.011371,-0.012552,19.508537,7.832967,-68.237061,,,,,,,
1508076504.925165,-0.029013,0.193552,1.838415,-0.039143,0.085935,0.013603,-0.028467,-0.192346,-0.980914,0.023599,0.002160,-0.005231,19.651733,7.917848,-68.186150,,,,,,,
1508076504.945183,-0.027628,0.192965,1.838907,-0.024023,0.060327,0.033157,-0.027112,-0.191770,-0.981065,0.017285,-0.006640,0.003770,19.651733,7.917848,-68.186150,,,,,,,
1508076504.965178,-0.026357,0.192881,1.839423,0.011405,0.013465,0.026345,-0.025865,-0.191687,-0.981115,0.009676,-0.001413,0.012106,19.805836,7.962523,-68.136345,,,,,,,
1508076504.985209,-0.026468,0.193350,1.839943,-0.005615,-0.019553,0.026836,-0.025972,-0.192147,-0.981022,0.006822,-0.005668,0.008366,19.883093,7.934023,-68.117165,,,,,,,
1508076505.005211,-0.026685,0.192713,1.840219,-0.060328,0.011383,0.011501,-0.026188,-0.191522,-0.981139,-0.008358,-0.005576,0.005599,19.874447,7.912697,-68.122169,,,,,,,
1508076505.025206,-0.026741,0.191736,1.840852,-0.039021,0.063533,0.029923,-0.026248,-0.190563,-0.981324,-0.013303,-0.002674,0.007401,19.896555,7.992829,-68.106361,,,,,,,
1508076505.045228,-0.025954,0.191777,1.841555,-0.001548,0.060320,0.033140,-0.025476,-0.190603,-0.981336,-0.012626,-0.010233,0.006758,19.935881,8.010349,-68.092796,,,,,,,
1508076505.065232,-0.025804,0.192687,1.842210,0.047773,0.017714,0.024125,-0.025323,-0.191497,-0.981166,-0.012518,-0.007127,0.009380,19.975075,7.976013,-68.085342,,,,,,,
1508076505.085234,-0.027405,0.194398,1.842921,0.002841,-0.002487,0.007392,-0.026885,-0.193176,-0.980796,-0.021531,-0.001602,0.013724,19.928337,7.789559,-68.120621,,,,,,,
1508076505.105246,-0.027792,0.193933,1.842412,-0.051994,0.027457,-0.046315,-0.027268,-0.192719,-0.980875,-0.023834,-0.004592,0.014948,19.884359,7.794925,-68.132858,,,,,,,
1508076505.125237,-0.027017,0.193046,1.841704,-0.063866,0.072179,-0.037358,-0.026512,-0.191849,-0.981066,-0.018868,-0.005005,0.000720,19.862116,7.843861,-68.133728,,,,,,,
1508076505.145248,-0.026408,0.192575,1.840875,-0.017810,0.047683,-0.046633,-0.025917,-0.191387,-0.981173,-0.017769,-0.001759,0.000734,19.917826,7.945033,-68.105736,,,,,,,
1508076505.165265,-0.026146,0.192189,1.839830,0.013248,0.010440,-0.071707,-0.025662,-0.191008,-0.981253,-0.014957,0.016615,-0.000970,19.929298,7.956325,-68.101059,,,,,,,
1508076505.185253,-0.025771,0.192305,1.838504,-0.016764,0.031742,-0.067728,-0.025294,-0.191122,-0.981240,-0.010885,0.003210,-0.002356,19.909197,7.993544,-68.102577,,,,,,,
1508076505.205260,-0.024717,0.191028,1.836707,-0.072549,0.049918,-0.094607,-0.024265,-0.189868,-0.981510,-0.000699,-0.006070,-0.001889,19.926332,8.103806,-68.084534,,,,,,,
1508076505.225284,-0.022904,0.189344,1.835158,-0.083320,0.111635,-0.060305,-0.022492,-0.188215,-0.981870,-0.008788,-0.002810,-0.001757,19.978682,8.214050,-68.055977,,,,,,,
1508076505.245289,-0.020229,0.188712,1.834137,0.053563,0.158435,-0.042959,-0.019868,-0.187594,-0.982046,-0.014845,0.021700,0.005224,20.069630,8.310492,-68.017494,,,,,,,
1508076505.265288,-0.017617,0.191386,1.833772,0.191791,0.122129,-0.016945,-0.017294,-0.190219,-0.981589,0.009146,-0.016034,0.031821,20.328045,8.247594,-67.948380,,,,,,,
1508076505.285301,-0.015935,0.196139,1.833173,0.169477,0.029535,-0.053973,-0.015629,-0.194884,-0.980702,0.016591,-0.020769,0.034474,20.453642,7.918164,-67.949875,,,,,,,
1508076505.305291,-0.014944,0.197886,1.831734,0.029206,0.060463,-0.054316,-0.014652,-0.196597,-0.980375,0.008289,-0.046384,0.058561,20.465036,7.826001,-67.957123,,,,,,,
1508076505.325285,-0.013010,0.196950,1.831323,-0.075669,0.103020,-0.018606,-0.012758,-0.195680,-0.980585,-0.015150,-0.011092,0.038996,20.587111,7.822617,-67.920631,,,,,,,
1508076505.345302,-0.012000,0.196132,1.830541,0.003492,0.068986,-0.056558,-0.011770,-0.194877,-0.980757,-0.025492,0.008994,0.035231,20.678007,7.901196,-67.883911,,,,,,,
1508076505.365319,-0.011005,0.198290,1.829805,0.155706,0.024126,-0.015503,-0.010789,-0.196993,-0.980346,-0.019088,-0.004637,0.052398,20.690485,7.911817,-67.878868,,,,,,,
1508076505.385324,-0.010977,0.201600,1.829864,0.152643,0.001707,0.009350,-0.010754,-0.200237,-0.979688,-0.004413,-0.033909,0.044996,20.727467,7.619243,-67.901054,,,,,,,
1508076505.405340,-0.011836,0.203751,1.830454,0.018992,-0.016401,0.024641,-0.011591,-0.202344,-0.979246,-0.014761,-0.019580,0.037061,20.724241,7.495817,-67.915779,,,,,,,
1508076505.425347,-0.011049,0.203578,1.830634,-0.019913,0.086984,0.000779,-0.010821,-0.202175,-0.979290,-0.045759,0.004253,0.046383,20.682407,7.405572,-67.938431,,,,,,,
1508076505.445341,-0.008190,0.202730,1.830218,-0.054486,0.158438,-0.036486,-0.008022,-0.201344,-0.979488,-0.016804,-0.003750,0.028926,20.872494,7.460187,-67.874290,,,,,,,
1508076505.465358,-0.005305,0.201943,1.829325,-0.007283,0.114756,-0.039087,-0.005197,-0.200573,-0.979665,-0.003348,0.005078,0.018209,21.026104,7.528420,-67.819321,,,,,,,
1508076505.485344,-0.004079,0.203569,1.829571,0.128068,0.036780,0.051512,-0.003995,-0.202166,-0.979343,0.002072,-0.009809,0.014881,21.132231,7.547245,-67.784233,,,,,,,
1508076505.505345,-0.005291,0.206811,1.831174,0.164912,-0.107059,0.063167,-0.005178,-0.205340,-0.978677,0.012472,-0.002302,0.005227,21.175478,7.248720,-67.803314,,,,,,,
