timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1508184029.687607,-0.076799,0.056123,3.044320,-0.009892,0.014906,-0.009641,-0.076603,-0.056094,-0.995483,0.001301,0.010897,-0.018342,20.368580,28.111698,-46.194698,,,,,,,
1508184029.707615,-0.075976,0.056511,3.044073,0.029578,0.053250,-0.012360,-0.075781,-0.056481,-0.995524,0.003760,-0.003090,-0.012991,20.368580,28.111698,-46.194698,,,,,,,
1508184029.727622,-0.074841,0.056962,3.043890,0.009251,0.055379,-0.009176,-0.074650,-0.056932,-0.995583,0.014210,-0.018538,0.011315,20.415146,28.112625,-46.173576,,,,,,,
1508184029.747611,-0.073329,0.057119,3.043732,-0.053829,0.050048,0.001612,-0.073143,-0.057088,-0.995686,0.025414,-0.010875,0.003636,20.502785,28.086969,-46.150352,,,,,,,
1508184029.767636,-0.071758,0.055441,3.043611,-0.075223,0.041545,-0.003581,-0.071587,-0.055412,-0.995894,0.022530,0.005806,-0.006441,20.537983,28.131432,-46.107601,,,,,,,
1508184029.787642,-0.070166,0.053889,3.043282,-0.016292,0.004270,-0.012682,-0.070007,-0.053862,-0.996091,0.019332,0.011977,-0.017001,20.622839,28.211811,-46.020527,,,,,,,
1508184029.807649,-0.069011,0.053956,3.043166,0.012608,0.022338,0.006228,-0.068856,-0.053930,-0.996168,0.009530,0.002355,0.001676,20.685455,28.254133,-45.966434,,,,,,,
1508184029.827656,-0.067981,0.054358,3.043325,0.023229,0.040461,-0.001507,-0.067829,-0.054331,-0.996217,0.010456,0.003108,-0.001083,20.722347,28.240444,-45.958229,,,,,,,
1508184029.847662,-0.065789,0.054828,3.043328,-0.049572,0.072407,0.015146,-0.065642,-0.054800,-0.996337,0.019057,-0.018869,-0.000138,20.783997,28.213383,-45.947006,,,,,,,
1508184029.867667,-0.062978,0.052530,3.043728,-0.064531,0.076654,0.026824,-0.062850,-0.052506,-0.996641,0.015502,0.029313,-0.006716,20.959505,28.257511,-45.840042,,,,,,,
1508184029.887676,-0.060560,0.051210,3.043730,0.020821,0.121446,-0.009078,-0.060443,-0.051188,-0.996858,0.014331,0.038493,0.001985,21.044018,28.320383,-45.762451,,,,,,,
1508184029.907682,-0.056792,0.052076,3.044059,0.069254,0.082988,0.042625,-0.056684,-0.052053,-0.997034,0.042036,-0.006404,0.016901,21.167410,28.375507,-45.671307,,,,,,,
1508184029.927689,-0.056455,0.052911,3.045595,0.020451,-0.010828,0.086675,-0.056346,-0.052887,-0.997010,0.021006,-0.021149,0.023102,21.344040,28.255795,-45.663322,,,,,,,
1508184029.947676,-0.056667,0.052216,3.047319,-0.057776,0.022223,0.081989,-0.056560,-0.052192,-0.997034,-0.001546,-0.002800,0.016657,21.361866,28.232944,-45.669117,,,,,,,
1508184029.967676,-0.054943,0.050716,3.048358,-0.074239,0.119241,0.043274,-0.054845,-0.050694,-0.997207,0.001348,0.018147,-0.002472,21.477306,28.260935,-45.597607,,,,,,,
1508184029.987693,-0.052794,0.049261,3.049049,-0.066712,0.095824,0.032945,-0.052706,-0.049241,-0.997395,0.042070,0.022355,-0.008479,21.605270,28.309486,-45.506947,,,,,,,
1508184030.007716,-0.049250,0.047591,3.049906,-0.035671,0.131966,0.069717,-0.049174,-0.047573,-0.997657,0.045634,0.023129,-0.000680,21.660131,28.331760,-45.466984,,,,,,,
1508184030.027723,-0.046888,0.047325,3.052149,0.010631,0.099878,0.129861,-0.046819,-0.047307,-0.997783,0.053990,0.013677,-0.002126,21.955917,28.349014,-45.314106,,,,,,,
1508184030.047721,-0.045967,0.047873,3.055053,0.039788,0.036973,0.154210,-0.045898,-0.047855,-0.997799,0.040969,0.003665,0.018750,22.096069,28.264111,-45.299011,,,,,,,
1508184030.067737,-0.044451,0.048078,3.058445,-0.022276,0.059322,0.174192,-0.044385,-0.048060,-0.997858,0.025922,-0.004751,0.031061,22.157742,28.212330,-45.301167,,,,,,,
1508184030.087742,-0.043510,0.046864,3.061502,-0.065148,0.046615,0.141353,-0.043448,-0.046847,-0.997957,0.011664,-0.003140,0.014482,22.403425,28.127348,-45.233128,,,,,,,
1508184030.107741,-0.041956,0.045517,3.064325,-0.047101,0.105181,0.150087,-0.041900,-0.045502,-0.998085,-0.011749,-0.000153,-0.001457,22.503811,28.126076,-45.184059,,,,,,,
1508184030.127757,-0.040361,0.044766,3.067299,0.010706,0.084947,0.139674,-0.040309,-0.044751,-0.998185,0.002971,0.014981,-0.017044,22.671234,28.112806,-45.108559,,,,,,,
1508184030.147763,-0.039177,0.045151,3.069895,0.027830,0.068991,0.126030,-0.039127,-0.045136,-0.998214,-0.007626,0.014099,-0.002076,22.787647,28.057915,-45.084068,,,,,,,
1508184030.167746,-0.037757,0.045122,3.072129,0.005078,0.130838,0.096360,-0.037709,-0.045107,-0.998270,0.006612,-0.007674,0.015803,22.971964,27.954920,-45.054501,,,,,,,
1508184030.187777,-0.035203,0.044317,3.073925,-0.054807,0.114880,0.093438,-0.035161,-0.044302,-0.998399,0.017323,-0.007745,0.007005,23.103428,27.932592,-45.001099,,,,,,,
1508184030.207783,-0.033206,0.042863,3.076048,-0.080260,0.072216,0.124998,-0.033170,-0.042850,-0.998531,0.012174,0.002170,-0.004307,23.241629,27.933754,-44.929153,,,,,,,
1508184030.227772,-0.031640,0.041373,3.079083,-0.053419,0.085977,0.165298,-0.031607,-0.041362,-0.998644,0.022788,0.037623,-0.022413,23.458410,27.943069,-44.810539,,,,,,,
1508184030.247798,-0.030589,0.041355,3.082379,0.038731,0.045472,0.166883,-0.030558,-0.041343,-0.998678,0.021738,0.037604,-0.022380,23.577267,27.905579,-44.771511,,,,,,,
1508184030.267804,-0.029485,0.041971,3.086305,0.080751,0.000629,0.215485,-0.029455,-0.041958,-0.998685,0.033407,0.013974,-0.025759,23.780922,27.772556,-44.746506,,,,,,,
1508184030.287802,-0.029589,0.042832,3.091277,0.027384,0.004811,0.261315,-0.029558,-0.042818,-0.998646,0.026369,-0.004057,-0.019741,23.878899,27.643375,-44.774311,,,,,,,
1508184030.307801,-0.029116,0.042342,3.096447,-0.038086,0.063430,0.254116,-0.029086,-0.042329,-0.998680,0.020007,0.004823,-0.015663,24.031588,27.503162,-44.778969,,,,,,,
1508184030.327814,-0.027610,0.041159,3.101368,-0.041351,0.068781,0.242312,-0.027583,-0.041147,-0.998772,0.007716,-0.009497,-0.014793,24.289454,27.403389,-44.700935,,,,,,,
1508184030.347830,-0.026978,0.041141,3.105647,0.036684,0.043291,0.194639,-0.026952,-0.041129,-0.998790,-0.013178,-0.002236,-0.009617,24.419636,27.334877,-44.671947,,,,,,,
1508184030.367817,-0.026206,0.042786,3.109292,0.105867,0.139194,0.167605,-0.026179,-0.042773,-0.998742,-0.038091,0.000079,-0.010017,24.532101,27.237972,-44.669518,,,,,,,
1508184030.387845,-0.023117,0.044932,3.112001,0.107860,0.130788,0.112260,-0.023091,-0.044916,-0.998724,0.009984,-0.000341,-0.008661,24.784500,26.982363,-44.685318,,,,,,,
1508184030.407828,-0.020686,0.046637,3.114103,0.068243,0.140383,0.113217,-0.020662,-0.046620,-0.998699,-0.003172,-0.016734,0.001293,24.926199,26.873335,-44.672195,,,,,,,
1508184030.427858,-0.017811,0.048065,3.116732,0.068279,0.145677,0.129135,-0.017789,-0.048047,-0.998687,-0.007800,-0.002445,0.004836,25.063828,26.781662,-44.650238,,,,,,,
1508184030.447865,-0.016089,0.049741,3.119017,0.077981,0.093528,0.103226,-0.016069,-0.049720,-0.998634,-0.011077,-0.000390,-0.002739,25.339895,26.581306,-44.614128,,,,,,,
1508184030.467856,-0.014927,0.050739,3.120857,0.096128,0.079725,0.077821,-0.014907,-0.050717,-0.998602,-0.012345,0.020779,0.002539,25.422260,26.489090,-44.622124,,,,,,,
1508184030.487879,-0.013396,0.051999,3.122453,0.064068,0.072263,0.084351,-0.013377,-0.051976,-0.998559,0.004832,-0.004863,0.022149,25.514006,26.422333,-44.609337,,,,,,,
1508184030.507885,-0.011638,0.053345,3.124519,0.017240,0.029592,0.123392,-0.011621,-0.053319,-0.998510,0.016427,-0.007075,0.029134,25.668011,26.278261,-44.606087,,,,,,,
1508184030.527881,-0.011719,0.053324,3.127720,-0.003840,-0.013133,0.183741,-0.011702,-0.053299,-0.998510,0.015593,-0.001999,0.025137,25.758291,26.207235,-44.595825,,,,,,,
1508184030.547900,-0.012594,0.053136,3.131980,-0.005647,-0.080324,0.225236,-0.012576,-0.053111,-0.998509,0.011401,-0.000265,0.010854,25.840996,26.113998,-44.602676,,,,,,,
1508184030.567905,-0.015040,0.052533,3.136132,0.021080,-0.109026,0.192576,-0.015019,-0.052509,-0.998507,-0.004543,0.013950,0.013965,25.898598,25.987505,-44.643131,,,,,,,
1508184030.587912,-0.017477,0.052946,3.139948,0.004866,-0.061075,0.185495,-0.017452,-0.052922,-0.998446,-0.006138,-0.003841,0.018573,25.880507,25.881502,-44.715141,,,,,,,
1508184030.607919,-0.018318,0.052835,-3.139686,-0.001724,-0.017375,0.173137,-0.018292,-0.052810,-0.998437,-0.006641,0.003540,0.022988,25.905813,25.832134,-44.729034,,,,,,,
1508184030.627926,-0.019538,0.053542,-3.136187,-0.013398,-0.047203,0.174645,-0.019509,-0.053516,-0.998376,-0.004096,-0.014431,0.007776,25.990316,25.680597,-44.767258,,,,,,,
1508184030.647910,-0.021334,0.053236,-3.132613,-0.045478,-0.051462,0.176864,-0.021303,-0.053210,-0.998356,-0.017958,-0.015317,0.009785,26.004852,25.571898,-44.821007,,,,,,,
1508184030.667940,-0.022760,0.052062,-3.129493,-0.070269,-0.025828,0.144522,-0.022727,-0.052039,-0.998386,-0.016351,-0.007486,0.006321,26.026625,25.549301,-44.821255,,,,,,,
1508184030.687929,-0.024075,0.050576,-3.126787,-0.029785,0.016798,0.128945,-0.024042,-0.050554,-0.998432,-0.021002,0.010332,-0.011761,26.061239,25.516525,-44.819813,,,,,,,
1508184030.707938,-0.024013,0.050500,-3.124101,0.040852,0.018897,0.135259,-0.023980,-0.050479,-0.998437,-0.010917,0.010180,-0.013037,26.112524,25.476620,-44.812664,,,,,,,
1508184030.727955,-0.024604,0.051116,-3.121349,0.030275,-0.024773,0.133768,-0.024569,-0.051093,-0.998392,-0.008909,0.006828,-0.003912,26.153095,25.420710,-44.820755,,,,,,,
1508184030.747949,-0.025840,0.051752,-3.118705,-0.018907,-0.042860,0.128736,-0.025802,-0.051729,-0.998328,-0.008423,-0.012175,0.011679,26.204624,25.276070,-44.872429,,,,,,,
1508184030.767966,-0.027457,0.051185,-3.116100,-0.023206,-0.034344,0.130748,-0.027418,-0.051163,-0.998314,-0.013308,0.004288,-0.001442,26.200184,25.247486,-44.891113,,,,,,,
1508184030.787981,-0.029064,0.050404,-3.113502,0.020649,-0.037539,0.123297,-0.029023,-0.050383,-0.998308,-0.016372,0.015395,-0.008116,26.202408,25.185865,-44.924412,,,,,,,
1508184030.807987,-0.030977,0.051191,-3.111080,0.055988,-0.052454,0.118156,-0.030931,-0.051169,-0.998211,-0.016218,-0.007684,0.004482,26.194489,25.101063,-44.976463,,,,,,,
1508184030.827992,-0.033187,0.053029,-3.108745,0.037853,-0.081193,0.107923,-0.033135,-0.053005,-0.998044,-0.012596,-0.019643,0.007795,26.164845,24.988174,-45.056511,,,,,,,
1508184030.848001,-0.035712,0.054121,-3.106563,-0.009283,-0.065199,0.104527,-0.035652,-0.054095,-0.997899,-0.017616,-0.020169,0.006429,26.110678,24.856159,-45.160831,,,,,,,
1508184030.868007,-0.037887,0.053946,-3.104819,-0.010598,-0.021458,0.068706,-0.037823,-0.053920,-0.997829,-0.031132,-0.000477,0.003719,26.064400,24.776817,-45.231110,,,,,,,
1508184030.887992,-0.039250,0.054182,-3.103728,0.018325,-0.051259,0.050990,-0.039183,-0.054155,-0.997763,-0.006060,-0.002684,-0.004419,26.018217,24.751591,-45.271488,,,,,,,
1508184030.908021,-0.040824,0.054629,-3.102676,0.036546,-0.068296,0.044826,-0.040752,-0.054602,-0.997676,-0.004841,0.007223,-0.017872,25.982719,24.699907,-45.320084,,,,,,,
1508184030.928028,-0.041526,0.054477,-3.101899,0.035372,-0.038461,0.041195,-0.041452,-0.054450,-0.997656,0.012186,0.020514,-0.008997,25.939863,24.656319,-45.368340,,,,,,,
1508184030.948018,-0.042175,0.054931,-3.100602,-0.023454,-0.007627,0.077046,-0.042099,-0.054903,-0.997604,-0.002304,-0.022901,0.031890,25.945187,24.644163,-45.371899,,,,,,,
1508184030.968042,-0.042796,0.053795,-3.099419,-0.053280,-0.085324,0.048339,-0.042721,-0.053769,-0.997639,0.034252,0.012647,0.028492,25.975376,24.611893,-45.372147,,,,,,,
1508184030.988047,-0.045440,0.053392,-3.097996,-0.004850,-0.129100,0.093722,-0.045360,-0.053367,-0.997544,0.005809,-0.000954,0.003755,25.890598,24.615522,-45.418610,,,,,,,
1508184031.008048,-0.047513,0.053352,-3.096271,0.001308,-0.067270,0.069362,-0.047427,-0.053327,-0.997450,-0.003339,0.009244,-0.024706,25.836945,24.566425,-45.475708,,,,,,,
1508184031.028062,-0.047516,0.053376,-3.095455,0.008380,0.029746,0.028497,-0.047430,-0.053351,-0.997449,-0.006510,-0.003366,-0.023761,25.829134,24.550278,-45.488861,,,,,,,
1508184031.048067,-0.046456,0.054351,-3.095150,0.038217,0.051083,0.008971,-0.046370,-0.054324,-0.997446,0.005370,-0.019070,-0.014105,25.888174,24.511612,-45.476147,,,,,,,
1508184031.068074,-0.045596,0.055058,-3.094909,0.027581,0.032970,0.012441,-0.045511,-0.055030,-0.997447,0.004618,-0.033547,0.004558,25.943007,24.451553,-45.477230,,,,,,,
1508184031.088082,-0.045422,0.055264,-3.095070,-0.006720,0.005369,-0.030851,-0.045337,-0.055236,-0.997443,0.004688,-0.029588,0.014457,25.957663,24.437237,-45.476566,,,,,,,
1508184031.108004,-0.044985,0.054788,-3.096205,-0.091495,0.053388,-0.062407,-0.044902,-0.054760,-0.997489,-0.011250,-0.026996,0.005729,25.954960,24.495655,-45.446671,,,,,,,
1508184031.127991,-0.043752,0.053005,-3.097591,-0.077593,0.049136,-0.068754,-0.043676,-0.052981,-0.997640,0.007742,0.007311,-0.007792,25.963171,24.582756,-45.394920,,,,,,,
1508184031.147995,-0.042420,0.052651,-3.098947,0.016527,0.074660,-0.059598,-0.042349,-0.052626,-0.997716,0.011419,0.021483,-0.005687,25.968397,24.631649,-45.365417,,,,,,,
1508184031.168026,-0.040230,0.053471,-3.099922,0.033751,0.057583,-0.043369,-0.040162,-0.053446,-0.997763,0.029176,-0.000143,0.009527,26.017155,24.655563,-45.324474,,,,,,,
1508184031.188019,-0.039477,0.053611,-3.100533,-0.013180,0.026666,-0.024758,-0.039410,-0.053586,-0.997785,0.031384,-0.008899,0.024824,26.062126,24.653641,-45.299675,,,,,,,
1508184031.208041,-0.037948,0.052843,-3.101015,-0.044233,0.041576,-0.017487,-0.037886,-0.052818,-0.997885,0.029112,0.006920,0.038474,26.086540,24.680946,-45.270744,,,,,,,
